fecha_hora,real,GBM cuadratica,GBM absoluta (MAE),GBM MCC,LEAR (LASSO),LEAR MCC
2026-04-27 11:00:00,251.80531,264.3111950560346,257.3794455905945,269.13775046730876,255.94436180822544,251.30141928391535
2026-04-27 12:00:00,251.80531,267.2617352653636,270.3641646221469,247.80438300371765,257.30060315810243,251.59995482220376
2026-04-27 13:00:00,251.80531,275.4101238012712,267.15315084399833,283.22209493817707,258.7006807873888,253.81893274751974
2026-04-27 14:00:00,277.01731,284.91406764146,294.16721181654333,298.52598868638637,263.47442738794626,260.8654957061918
2026-04-27 15:00:00,277.01731,312.1537069693771,321.1446738400103,321.79487882312355,273.30210006585713,276.0907802805225
2026-04-27 16:00:00,281.80531,338.1709986905672,307.53552192046527,309.7350493223205,276.7615710357697,281.0880406720694
2026-04-27 17:00:00,306.80531,316.43989130399757,301.2443144825927,308.97352511661114,292.25449483669104,280.8587700205894
2026-04-27 18:00:00,346.80531,352.9983315220005,329.8593942905931,330.4172121153292,335.73560385675063,298.7356216619391
2026-04-27 19:00:00,596.80531,358.91548803093985,326.276117531688,343.9391379635774,389.7902483981269,317.218703307831
2026-04-27 20:00:00,306.80531,373.96695370154754,321.45732110160486,308.4753741390974,340.600427035877,309.1040680374965
2026-04-27 21:00:00,306.80531,321.00531896525246,296.57713474994483,306.70553893247694,302.5928611228105,289.3903129255198
2026-04-27 22:00:00,281.80531,286.7105514388746,294.2127001300619,282.49335174213627,286.08766057969103,271.23568102844155
2026-04-27 23:00:00,277.01731,282.2402903159843,278.40956386007247,273.02550272206,282.76665850290954,259.26143082583604
2026-04-28 00:00:00,98.19155,249.73299495249935,223.31097194701076,239.70414613885777,228.26926908104457,247.88215963102954
2026-04-28 01:00:00,103.40455,121.2763850143094,102.91586812561324,98.86829790742354,133.582329014775,110.21667602430045
2026-04-28 02:00:00,98.19155,124.59887114118317,109.21167892842564,99.56336242851755,154.59183484355947,110.64728288694562
2026-04-28 03:00:00,98.19155,123.74550856328383,116.05111677561378,101.17037824231107,164.03044254189027,114.64468873328786
2026-04-28 04:00:00,101.98955,137.00111651375124,142.87445753937914,100.58230540145655,179.45529292116686,113.590226629966
2026-04-28 05:00:00,257.04255,169.5855793546891,183.03253087466874,186.15439879652973,204.54801954970162,135.21115243985022
2026-04-28 06:00:00,257.04255,177.6278355448359,174.44935787401744,199.1009720434245,205.18461120051956,127.045595990348
2026-04-28 07:00:00,257.04255,201.32264975198657,200.85883946422962,224.88071526655386,208.19037045377365,158.76980381326166
2026-04-28 08:00:00,105.34955,197.73054343553986,216.95047023881145,250.31042256288995,205.2098565994777,179.85651560996985
2026-04-28 09:00:00,98.19155,234.04277643949223,218.36127593909185,246.70863226111163,201.0475346006881,186.40197788580915
2026-04-28 10:00:00,98.19155,225.31636531545013,237.06101732053114,252.7346482625095,210.66109525667545,212.29053124937184
2026-04-28 11:00:00,101.98955,234.51464052381343,257.1511403188032,250.2235993710222,210.39743732660514,218.15463198959347
2026-04-28 12:00:00,101.98955,235.60006645984993,233.10062092321286,243.78249606177934,205.834831055175,219.34314965438426
2026-04-28 13:00:00,257.04255,238.46234583134424,264.69591640059923,253.65283065965798,210.12198177205826,216.74906022281056
2026-04-28 14:00:00,257.04255,287.011798663313,256.7328438809306,260.072936400586,228.9159782931809,241.86974172883052
2026-04-28 15:00:00,267.04255,310.59760349087526,295.5222354305433,294.8447587815006,252.58550823605674,253.87309495610876
2026-04-28 16:00:00,267.04255,335.38145019347746,310.7132651260299,288.29652253475086,253.30522666530484,256.2832178552593
2026-04-28 17:00:00,272.04255,312.0346459007444,285.29381675836146,295.30185156329634,244.17474780145062,242.56585921222424
2026-04-28 18:00:00,597.04255,472.3444198534332,343.08900828762575,331.80411224645434,324.3995943430939,299.80511419136093
2026-04-28 19:00:00,1134.59455,546.1800268814816,437.656614566264,397.1999184410787,449.9204996340759,398.53665655671523
2026-04-28 20:00:00,307.04255,367.33554245426313,341.9727448393411,307.33845532220505,309.85611120394594,293.0842781316521
2026-04-28 21:00:00,307.04255,324.25745044697675,286.1211316419907,287.6117879015815,247.87038631195477,254.4762315758645
2026-04-28 22:00:00,257.04255,255.1415697009507,256.58501214805153,275.83470314246046,208.95884660196893,211.53458104159
2026-04-28 23:00:00,257.04255,202.65793367160458,219.7192466214141,234.90548200577814,197.15494173677928,169.32476494212239
2026-04-29 00:00:00,121.41992,175.31092084869255,134.03659076004288,155.3342267534032,178.03775249173822,144.20298044493634
2026-04-29 01:00:00,121.41992,109.17875539421146,122.48114810137876,121.14386805211915,153.55407766467277,122.22979298211288
2026-04-29 02:00:00,115.33292,111.59814673888448,118.7589322527234,122.36665959759237,161.71971760311473,120.78724988422832
2026-04-29 03:00:00,115.33292,121.57155266301079,121.39080658973002,123.00177609780151,174.7803181737807,123.08459319247214
2026-04-29 04:00:00,115.33292,136.57669727214707,142.1639855872634,122.75818944175856,163.57983386593605,125.94033932539199
2026-04-29 05:00:00,122.49092,182.60897704843114,183.40695353557766,198.3817397386656,222.56361279665026,153.2120767897465
2026-04-29 06:00:00,121.41992,196.48279325050262,173.29397841489885,196.11946283652762,220.93888762865885,145.6701691623775
2026-04-29 07:00:00,122.49092,188.59386633953721,186.22078383469233,220.78083250886786,208.89763794561622,167.58700725128367
2026-04-29 08:00:00,122.49092,148.55197740183692,177.4392420624098,157.99199636329374,190.6859260977975,149.60807063421373
2026-04-29 09:00:00,115.33292,176.91916277943864,150.19724059146023,146.8059377711077,186.37671778888276,138.465118700143
2026-04-29 10:00:00,115.33292,194.05701174029423,166.49747634137984,151.77641123125642,221.872249266435,164.0590071742849
2026-04-29 11:00:00,115.33292,216.253743796532,201.81268857836164,210.98255032277004,208.44547509906633,166.66734958691558
2026-04-29 12:00:00,115.33292,221.4347914088706,194.86075571341144,175.96104937225752,203.1166149717529,175.1217907682984
2026-04-29 13:00:00,122.49092,247.51140355413645,233.02575733903458,246.31323211458158,229.04695177007073,215.67692999657834
2026-04-29 14:00:00,274.18392,240.5941107011072,221.74728722451485,232.90829099284406,256.4285171614558,219.1811522237079
